,Loan Type,Product Name,Product Features,Eligibility Criteria
0,담보대출,당행 예부적금 등 수신금리연동담보대출,"상품특징당행 예·부·적금, 당행 발행 양도성예금증서(CD), 당행 발행 표지어음, 당행 발행 환매조건부채권(RP) 및 당행 신탁 등을 거래하는 고객이 이를 담보로 대출 실행","대출신청자격은행이 인정하는 본인 단독명의의 당행 예·부·적금·신탁 등을 담보로 제공하는 자다음의 경우에는 담보대출 취급불가☞예금 신규 가입일을 포함하여 2영업일 이내의 예금담보대출.다만, 재예치 예금 또는 주택청약예금/부금의 지역간 예치금액변경 및 평형변경은 제외☞계약해지의제좌에 편입된 적립식 예금의 담보대출☞수신금리가 일반 공시금리 미만인 예금 담보대출☞예금잔액증명서 발급계좌에 대한 발급 당일 담보대출☞당행 신탁 중 비과세 가계신탁은 은행대출의 담보로 할 수 없으며, 신탁대출로만 운용☞중장기주택부금을 담보로 대출취급 불가☞복수 예·부·적금 담보로 하는 경우 최대 5계좌까지 가능(일반예금과 아래 각호의 예금 상호간 또는 아래 각호의 예금 상호간 복수담보 취득 불가)-차세대주택종합통장[차세대주택종합통장내 주택부금(청약예금 포함),정기예금(청약예금 포함) 상호간 복수담보 취급불가]-당행 신탁(당행 신탁 상호간에도 복수담보 취급 불가)- 수신금리연동대출로 취급이 불가한 예금[투자신탁, 외화예금 등]"
1,자동차대출,KB 매직카대출(중고차 구매用),"상품특징캐피탈 대비 유리한 금리조건으로 중고차를 구매하려는 고객을 위한 비대면 전용 대출상품취급수수료, 근저당설정 부담 없음.","대출신청자격중고차 구입 목적으로 자동차매매업자와 계약(경·공매, 리스완료 후 구매 포함)을 체결하고 소득증빙이 가능한 만 19세 이상 개인고객※ 대출대상 : 근로소득자(6개월 이상), 사업소득자(12개월 이상), 연금소득자※ 대상차종 : 승용차, 승합차, 화물차(5톤 이하)(개인택시, 캠핑카 및 카라반, 수입차 포함)☞ 최초 자동차등록일로부터 15년 이내인 차량으로 대출실행 후 소유권 이전 필수☞ 자동차매매업자가 알선하지 않은 개인간 매매거래 제외"
2,주택도시기금대출,신혼희망타운전용 주택담보장기대출,상품특징주택도시기금과 LH 신혼희망타운 분양계약자가 주택매각 또는 대출상환 시 주택가격 상승에 따른 처분(평가)수익을 공유하는 저금리 주택구입자금대출[국토교통부 주택도시기금포털 바로가기],대출신청자격LH 신혼희망타운 분양계약을 체결한 만 19세 이상의 무주택 세대주(세대원 포함)※ 대출신청일 현재 세대주를 포함한 세대원 전원이 무주택인 고객
3,담보대출,KB 주택구입자금대출(집단 입주잔금대출),상품특징분양받은 주택에 입주예정으로 분양대금 잔금을 납부하려는 고객을 위한 맞춤상품,대출신청자격은행이 승인한 사업장의 입주예정자(‘무보증취급 후 후취담보 취득’ 방식은 수분양자 본인이 입주하는 경우만 가능)
4,담보대출,KB내집연금 연계대출,상품특징「KB골든라이프 공사주택연금론(주담대전환형)」으로 기존 주택담보대출을 전환하는 고객 중 상환자금이 부족한 고객을 지원하는 대출 상품,대출신청자격「KB골든라이프 공사주택연금론(주담대전환형)」을 신청하고 해당 대출만으로 기존 주택담보대출을 전액상환하기에는 자금이 부족하여 추가 대출이 필요한 고객※서울보증보험(주)의 개인금융신용보험증권 발급이 가능한 고객
5,신용대출,KB 직장인든든 신용대출,"상품특징직장인이라면 신청 가능'내맘대로 통장자동대출' 선택 시, 최초 약정한 금액 범위 내에서 사용한도의 자유로운 증액과 감액이 가능하며, 추가 우대금리가 제공됩니다.","대출신청자격재직기간 3개월 이상 당행 선정 우량 직장인 및 재직기간 6개월 이상 일반 직장인☞ 단, ""정규직 공무원(최종합격자 포함), 군인(중사 이상), 교사""는 재직기간 관계없음"
6,담보대출,장애인자립자금대출,상품특징보건복지부 선정 성년 등록장애인 대상 가계안정자금대출 지원신용대출 또는 담보대출로 신청 가능,대출신청자격거주지 구청장으로부터 융자추천을 받은 성년등록장애인- 융자추천은「복지대상자 자금대여 결정통지서」로 확인
7,신용대출,KB 제휴 대환 신용대출,상품특징씨티은행 개인 신용대출 보유 고객을 위한 씨티은행 제휴 대환 신용대출,대출신청자격한국씨티은행 개인 신용대출을 이용중인 고객
8,담보대출,KB 주택구입자금대출,상품특징◈ 기존 국민은행 거래 실적 없이 신속하게 대출 취급◈ 다양한 금리조건과 상환방법◈ 시세정보있는 공동주택의 경우 인터넷상에서 대출가능금액 즉시 조회 가능,대출신청자격주택을 구입하시는 분
9,신용대출,휴·폐업 개인사업자 신용대출에 대한 가계대출 채무조정프로그램,상품특징약정기일 경과 또는 연체 중인 개인사업자 신용대출을 가계신용대출로 전환,대출신청자격개인신용평가시스템(CSS) 등에 의해 산출된 의무상환금액(잔액 X 의무상환비율(최대 20%))만큼을 상환한 고객(신용관리정보 등록고객 포함)
