나이,직업,결혼여부,신용,예금여부,대출여부
59세,공무원,기혼,높음,예,예
56세,공무원,기혼,높음,예,아니오
41세,기술자,기혼,높음,예,예
55세,서비스직,기혼,높음,예,예
54세,공무원,기혼,높음,예,아니오
42세,경영진,미혼,높음,예,예
56세,경영진,기혼,높음,예,예
60세,은퇴,이혼,높음,예,예
37세,기술자,기혼,높음,예,예
28세,서비스직,미혼,높음,예,예
38세,공무원,미혼,높음,예,예
30세,육체노동직,기혼,높음,예,예
29세,경영진,기혼,높음,예,예
46세,육체노동직,미혼,높음,예,예
31세,기술자,미혼,높음,예,예
35세,경영진,이혼,높음,예,예
32세,육체노동직,미혼,높음,예,예
49세,서비스직,기혼,높음,예,예
41세,공무원,기혼,높음,예,예
49세,공무원,이혼,높음,예,예
28세,공무원,이혼,높음,예,예
43세,경영진,미혼,높음,예,예
43세,경영진,이혼,높음,예,예
43세,육체노동직,기혼,높음,예,예
37세,실업자,미혼,높음,예,예
35세,육체노동직,미혼,높음,예,예
31세,기술자,미혼,높음,예,예
43세,육체노동직,미혼,높음,예,예
31세,공무원,기혼,높음,예,예
28세,육체노동직,미혼,높음,예,예
32세,육체노동직,기혼,낮음,예,예
60세,기술자,기혼,높음,예,예
26세,육체노동직,미혼,높음,예,예
40세,육체노동직,기혼,높음,예,예
33세,육체노동직,이혼,높음,예,예
32세,경영진,미혼,높음,예,아니오
35세,육체노동직,기혼,높음,예,아니오
33세,경영진,이혼,높음,예,예
38세,경영진,기혼,높음,예,예
23세,기업가,미혼,높음,예,예
60세,육체노동직,기혼,높음,예,예
48세,경영진,기혼,높음,예,예
45세,기업가,이혼,높음,예,예
36세,육체노동직,기혼,높음,예,예
52세,경영진,기혼,높음,예,예
35세,육체노동직,이혼,높음,예,예
43세,기술자,기혼,높음,예,예
52세,가사도우미,기혼,높음,예,예
53세,기술자,이혼,높음,예,예
48세,육체노동직,이혼,높음,예,예
41세,육체노동직,미혼,높음,예,예
39세,경영진,이혼,높음,예,예
59세,은퇴,기혼,높음,예,예
41세,육체노동직,기혼,높음,예,예
48세,육체노동직,기혼,높음,예,예
40세,공무원,기혼,높음,예,예
48세,육체노동직,기혼,높음,예,예
60세,은퇴,기혼,높음,예,예
40세,기술자,미혼,높음,예,예
57세,기술자,기혼,높음,예,아니오
51세,육체노동직,기혼,높음,예,예
41세,육체노동직,이혼,높음,예,예
41세,육체노동직,기혼,높음,예,예
52세,육체노동직,이혼,높음,예,예
59세,육체노동직,기혼,높음,예,예
44세,육체노동직,기혼,높음,예,예
49세,알 수 없음,기혼,높음,예,예
40세,서비스직,기혼,높음,예,예
41세,공무원,기혼,높음,예,예
44세,기술자,기혼,높음,예,예
60세,서비스직,미혼,높음,예,예
29세,경영진,기혼,높음,예,아니오
41세,은퇴,이혼,높음,예,예
41세,육체노동직,기혼,높음,예,예
42세,기술자,미혼,높음,예,예
36세,서비스직,미혼,높음,예,예
39세,기술자,기혼,높음,예,예
31세,개인사업자,미혼,높음,예,예
26세,육체노동직,기혼,높음,예,예
