,Product Name,Product Features
0,KB공무원연금평생안심통장,"상품특징공무원연금 급여가 생활비로 사용될 수 있도록 압류가 금지되고, 연금수령 실적이 있는 경우 각종 은행거래 수수료를 면제해주는 압류방지 전용통장"
1,KB행복지킴이통장,"상품특징저소득층의 최소한의 생활안정을 위해 지원하는 기초생활급여, 기초(노령) 연금, 장애인연금, 장애(아동)수당, 한부모가족복지급여, 요양비등 보험급여, 긴급지원금, 어선원보험의 보험급여, 특별현금급여, 퇴직공제금, 아동수당, 영아수당, 노란우산공제금, 자립수당, 재난적의료비, 자동차사고 피해 지원금, 의료급여(요양비 등)가 (가)압류되지 않고, 본래의 지원 목적대로 기본적인 생계비로 사용할 수 있도록 하는 압류방지 전용 입출금이 자유로운 예금"
2,주택청약종합저축,"핵심 요약 안내핵심 요약 안내구 분 내 용 비 고최고금리 연 2.8% - 기본이율(연0 ~ 2.8%) ※ 가입기간에 따른 금리적용, 정부고시 변동금리 적용납입기간 가입일로부터 입주자로 선정된 날까지(단, 분양전환 되지 않는 임대주택 입주자로 선정된 경우 제외)적립 방법 및 금액 매월 약정납입일(신규 가입일 해당일 또는 전환가입일 해당일)에 2만원 ~ 50만원 이하의 금액을 10원단위로 납입※ 단, 입금하려는 금액과 납입누계액의 합이 1,500만원 이하인 경우 50만원을 초과하여 입금 가능※ 월저축금이 매월 약정납입일을 초과하여 입금되면 연체일수가 발생하며, 국민주택 청약 시 순위발생이 지연될 수 있음일부해지 X 해지 시 원금과 이자 일괄 지급예금담보대출 O 가능예금자보호 X 주택도시기금 조성재원으로 정부가 관리세제혜택 O 비과세종합저축으로 가입 가능"
3,KB 올인원급여통장,상품특징소득이 있는 누구나 혜택을 받을 수 있는 온국민의 급여통장
4,KB국민연금安心통장,금리자세히보기
5,KB하도급지킴이통장,상품특징정부 및 공공기관 등이 운영하는「하도급지킴이시스템」을 통해 발주한 공사대금 및 임금이 하도급자와 근로자 등에게 기간 내 집행될 수 있도록 관리/감독하기 위한 전용통장
6,KB청년도약계좌,가입절차- [가입자격확인신청 및 적금신규 기간 안내]※ 가입자격확인신청 및 적금신규는 지정된 기간의 영업일 오전 9시부터 오후 6시 30분 이내 가능- [7월 가입신청]ㅇ 가입신청: 신청 기간 종료ㅇ 적금신규: (※ 가입대상으로 안내받은 고객에 한함)* 1인 가구 : 2024년 7월 24일(수)~ 2024년 8월 9일(금)* 2인 이상 가구: 2024년 7월 29일(월)~ 2024년 8월 9일(금)- [8월 가입신청]ㅇ 가입신청: 2024년 8월 1일(목)~ 2024년 8월 9일(금)ㅇ 적금신규: (※ 가입대상으로 안내받은 고객에 한함)* 1인 가구 : 2024년 8월 16일(금)~ 2024년 9월 6일(금)* 2인 이상 가구: 2024년 8월 27일(화)~ 2024년 9월 6일(금)
7,KB맑은하늘적금,"상품특징맑은하늘을 위한 생활 속 작은 실천에 대해 우대금리를 제공하고, 대중교통/자전거상해 관련 무료 보험서비스(최대 2억원 보장)를 제공하는 친환경 특화 상품"
8,KB우대저축통장 (개인 MMDA),상품특징거래금액에 따라 금리가 차등 적용되는 단기고금리 상품 상품입니다.
9,KB종합통장,상품특징가입대상에 제한이 없고 소비자금 또는 유휴자금의 일시적 보관을 목적으로 개설하는 입출금이 자유로운 예금의 대표적인 상품입니다.
10,KB나라사랑우대통장,상품특징국군 장병(將兵) 및 나라사랑카드 회원에게 수수료 면제와 우대이율 등을 제공하는 입출금이자유로운예금
11,KB가맹점우대적금,"상품특징가맹점주가 재무플랜에 따라 만기일, 자동이체 주기 등을 직접 설계할 수 있고, KB국민은행계좌를 가맹점 결제계좌로 이용 시 우대금리를 받을 수 있는 가맹점주 전용 자유적립식 적금"
12,KB국민희망지킴이통장,"상품특징산업재해 보험급여가 생활비로 사용될 수 있도록 압류가 금지되고, 보험급여 수령실적이 있는 경우 각종 은행거래 수수료를 면제해주는 압류방지 전용통장"
13,KB두근두근여행적금,"상품특징여행준비의 혜택과 설렘이 있는 적금으로, 노랑풍선 최대 3만원 & 4% 할인쿠폰 제공"
14,KB스타퀴즈왕적금,상품특징금융 경험(저축)과 역사교육 콘텐츠를 함께 제공하는 단기 적금
15,KB주거행복 월세통장,상품특징「KB주거행복 월세대출」약정 전용 통장으로 임차인의 월세납부를 지원하는 입출금통장
16,일반정기적금,상품특징최저 1만원이상 원단위로 최고예치한도는 없으며 정액적립식으로 확정금리상품입니다.
17,국민수퍼정기예금 (CD금리연동형),상품특징매 3개월마다 CD수익률에 따라 금리가 변경 적용되어 금리상승기에 유리한 정기예금 (예금자 보호 대상)
18,온국민 건강적금-골든라이프,"상품특징시니어 고객의 건강관리와 금융 혜택을 결합한 앱테크형 상품으로, 저소득층 대상 특별 우대이율을 제공하는 적금"
19,온국민 건강적금,"가입대상실명의 개인 (1인 1계좌)※ 개인사업자, 임의단체 및 공동명의 가입 불가(서류 미제출 임의단체 가입 불가)"
20,KB호국보훈지킴이통장,"상품특징국가를 위해 희생하고 공헌하신 국가유공자 및 그 유가족 등의 영예로운 삶과 복지향상을 위해 지급하는 보훈급여금 등(이하 '보훈급여금')이 압류되지 않고 본래의 목적대로 사용할 수 있도록 하는 압류방지 전용통장※ 보훈급여금 등 : 국가보훈처에서 지급하는 보훈급여금, 참전명예수당, 수당"
21,KB차차차 적금,상품특징KB와 함께할수록 금리가 차! 차! 차!
22,국민수퍼정기예금(개인),"상품특징가입자가 이율, 이자지급, 만기일 등을 직접 설계하여 저축할 수 있는 다기능 맞춤식 정기예금입니다."
23,청년 주택드림 청약통장,"핵심 요약 안내핵심 요약 안내구 분 내 용 비 고최고금리 연 4.5% - 기본이율(연0 ~ 2.8%)※ 가입기간에 따른 금리적용, 정부고시 변동금리 적용- 우대이율(연1.7%p)※ 가입기간 2년 이상인 경우 무주택기간에 따라 원금 5천만원 한도로 최대 10년 동안 적용(자세한 우대이율 요건은 상품설명서 확인)납입기간 가입(전환)일로부터 해지일까지적립 방법 및 금액 매월 약정납입일(신규가입일 해당일 또는 전환가입일 해당일)에 2만원 ~ 100만원 이하의 금액을 10원 단위로 납입※ 단, 입금하려는 금액과 납입누계액의 합이 1,500만원 이하인 경우 100만원을 초과하여 입금 가능※ 월저축금을 매월 약정납입일을 경과하여 입금 시 지연일수가 발생하며, 국민주택 청약 시 순위발생이 지연될 수 있음일부인출 O 동 상품 가입자가 주택청약에 당첨된 경우에 1회에 한하여 청약당첨주택의 계약금 납부목적으로 일부금액* 인출 가능(단, 동 상품으로 전환되기 전 주택청약에 당첨된 ‘청년우대형 주택청약종합저축’ 가입자는 일부인출 불가) * 일부금액 : 청약당첨시 소득공제 추징 예상금액을 제외한 범위(단, 추징 예상금액이 없을 경우 마지막 회차를 제외한 범위)내예금담보대출 O 가능예금자보호 X 주택도시기금 조성재원으로 정부가 관리세제혜택 가입(전환)일 기준 무주택세대의 세대주로서「조세특례제한법」제87조, 제129조의2, 제146조의2 및 동법 시행령 제81조, 제123조의2, 제137조의2에서 정하는 세부사항(대상,요건, 범위 등) 충족 시 가입기간 2년 이상 유지한 계좌의 이자소득 500만원(납입금액 600만원 한도)에 대해 비과세 적용 가능(우대이율 적용 요건과 다름)"
24,KB국민ONE통장,상품특징생활 속 은행 거래실적에 따라 다양한 수수료 면제 서비스를 제공하는 입출금이자유로운예금
